Date,ESM6C 2080 Index  (R1),ESM6C 2085 Index  (L1),ESM6C 2090 Index  (R1),ESM6C 2095 Index  (L1),ESM6C 2100 Index  (R1),ESM6C 2105 Index  (L1),ESM6C 2110 Index  (R1),ESM6C 2115 Index  (L1),ESM6C 2120 Index  (R1),ESM6C 2125 Index  (R1),ESM6C 2130 Index  (R1),ESM6C 2135 Index  (L1),ESM6C 2140 Index  (R1),ESM6C 2145 Index  (L1),ESM6C 2150 Index  (R1),ESM6C 2155 Index  (L1),ESM6C 2160 Index  (L1),ESM6C 2165 Index  (L1),(R1) Open,(R1) High,(R1) Low,(R1) Close
9/8/2015,71,,66.75,,62.75,,59,,55,53.25,51.5,,48,,44.75,,41.5,,73.25,73.5,60,73.25
9/4/2015,58.5,,54.75,,51.25,,48,,44.75,43.25,41.75,,38.75,,36,,33.25,,60.5,65,57.75,60.5
9/3/2015,64.5,,60.5,,56.75,,53,,49.5,48,46.25,,43,,39.75,,36.75,,66.5,73.5,66.25,66.5
9/2/2015,64.25,,60.25,,56.5,,53,,49.5,47.75,46,,43,,40,,37,,62.75,66.25,60.25,66.25
9/1/2015,57.5,,54,,50.5,,47,,43.75,42.25,40.75,,37.75,,35,,32.5,,59.25,66.25,57.5,59.25
8/31/2015,72,,67.5,,63.5,,59.5,,55.75,53.75,52,,48.5,,45,,42,,74,77.75,70.5,74
8/28/2015,77.25,,72.75,,68.25,,64,,59.75,57.75,56,,52,,48.5,,45.25,,79.5,78.75,69.5,79.5
8/27/2015,74,,69.5,,65.25,,61,,57,55,53.25,,49.5,,46,,42.5,,76.5,76,55.75,76.5
8/26/2015,54,,50.25,,46.75,,43.25,,40,38.5,37,,34,,31.5,,28.75,,55.75,56,36,55.75
8/25/2015,37.5,,34.75,,32,,29.5,,27.25,26,25,,22.75,,20.75,,19,,50,50,38.5,39
8/24/2015,37.75,,35,,32.25,,29.75,,27.25,26,25,,22.75,,20.75,,19,,39,66.5,40,39
8/21/2015,66,,61.75,,57.75,,53.75,,50,48.25,46.5,,43,,39.75,,36.75,,68,86.5,66.75,68
8/20/2015,82.75,,77.75,,73,,68.25,,64,61.75,59.5,,55.25,,51.25,,47.5,,85.25,107.75,86.25,85.25
8/19/2015,103.25,,97.5,,92,,86.5,,81.25,78.75,76.25,,71.25,,66.5,,61.75,,106,118.25,104.75,106
8/18/2015,114.75,,108.75,,102.75,,97,,91.5,88.5,86,,80.5,,75.5,,70.5,,117.75,120.75,116,117.75
8/17/2015,117,,111,,105,,99.25,,93.5,90.75,88,,82.75,,77.5,,72.5,,120,119.75,108.5,120
8/14/2015,113,,107,,101.25,,95.5,,90,87.5,84.75,,79.5,,74.5,,69.5,,116,115,108.5,116
8/13/2015,108.75,,103,,97.25,,91.75,,86.5,83.75,81,,76,,71,,66.25,,111.5,117,108.75,111.5
8/12/2015,110.75,,105,,99.5,,93.75,,88.25,85.5,83,,77.75,,72.75,,68,,113.75,112.75,97.75,113.75
8/11/2015,108.5,,102.75,,97.25,,91.75,,86.5,84,81.25,,76.25,,71.25,,66.5,,111.5,117.25,107.75,111.5
8/10/2015,118,,111.75,,106,,100,,94.5,91.75,89,,83.75,,78.5,,73.5,,121,120.5,108.25,121
8/7/2015,104.75,,99,,93.5,,88.25,,83,80.5,78,,73.25,,68.5,,63.75,,107.5,111.75,103,107.5
8/6/2015,108.75,,103,,97.5,,92,,86.75,84,81.5,,76.5,,71.5,,67,,111.5,120.25,107.75,111.5
8/5/2015,116,,110,,104,,98.5,,92.75,90,87.5,,82.25,,77,,72.25,,119,124.5,117.75,119
8/4/2015,110,,104.25,,98.75,,93.25,,87.75,85,82.5,,77.5,,72.5,,67.75,,113,118.75,113.25,113
8/3/2015,114.25,,108.25,,102.5,,97,,91.5,88.75,86.25,,81,,76,,71,,117.25,123.25,113.25,117.25
7/31/2015,119.75,,114,,108.25,,102.5,,96.75,94,91.25,,86,,81,,76,,122.75,127.25,121.75,122.75
7/30/2015,122.75,,117,,111.25,,105.5,,99.75,97,94.25,,88.75,,83.5,,78.5,,125.75,125.5,118.75,125.75
7/29/2015,122.25,,116.25,,110.25,,104.5,,98.75,96,93.25,,88,,82.75,,77.5,,125.25,125.5,117.5,125.25
7/28/2015,115.5,,109.5,,104,,98.25,,92.75,90,87.5,,82.25,,77.25,,72.5,,118.25,118.25,107.5,118.25
7/27/2015,106.25,,100.75,,95.25,,90,,85,82.25,80,,75,,70.5,,66,,109,114,105.75,109
7/24/2015,111,,105.5,,99.75,,94.5,,89.25,86.5,84,,79,,74.25,,69.5,,114,126.75,111.25,114
7/23/2015,122,,116,,110.25,,104.5,,99,96.25,93.5,,88.25,,83,,78,,125.25,131.5,122,125.25
7/22/2015,126.5,,120.5,,114.5,,108.5,,102.75,100,97.25,,91.75,,86.5,,81.25,,129.5,131.5,127.75,129.5
7/21/2015,131.25,,125,,119,,113,,107,104,101.25,,95.75,,90.25,,85,,134.5,139.5,131.25,134.5
7/20/2015,136.25,,129.75,,123.75,,117.5,,111.5,108.75,105.75,,100,,94.5,,89.25,,139.5,140.5,136.5,139.5
7/17/2015,134.5,,128.5,,122.25,,116.25,,110.5,107.5,104.75,,99,,93.5,,88.25,,137.75,137.25,135,137.75
7/16/2015,134.5,,128.25,,122,,116,,110,107,104.25,,98.75,,93.25,,88,,137.5,137,130.75,137.5
7/15/2015,128,,122,,116,,110.25,,104.5,101.75,99,,93.5,,88,,83,,131,131,126.75,131
7/14/2015,126.5,,120.5,,114.75,,109,,103.25,100.5,97.75,,92.5,,87,,82,,129.75,129.75,123,129.75
7/13/2015,122.25,,116.25,,110.5,,105,,99.25,96.5,93.75,,88.5,,83.25,,78.25,,125.25,124.25,111.25,125.25
7/10/2015,112.5,,107,,101.75,,96.5,,91.25,88.5,86,,81,,76.25,,71.5,,115.5,117.5,110.75,115.5
7/9/2015,103.25,,98,,92.75,,87.75,,83,80.5,78,,73.5,,69,,64.5,,106,113.25,103.5,106
7/8/2015,100.5,,95.5,,90.5,,85.5,,80.5,78.25,76,,71.25,,67,,62.5,,103.25,112.5,102,103.25
7/7/2015,116.25,,110.5,,105,,99.5,,94.25,91.75,89,,84,,79.25,,74.5,,119,120,102.5,119
7/6/2015,113.25,,107.75,,102.25,,97,,91.75,89.25,86.75,,81.75,,77,,72.5,,116.25,118,105.25,116.25
7/2/2015,114.75,,109,,103.5,,98.25,,93,90.5,88,,83,,78,,73.5,,117.5,119.5,115.5,117.5
7/1/2015,115,,109.5,,104,,98.5,,93.5,90.75,88.25,,83.5,,78.5,,74,,118,120.5,114,118
6/30/2015,110,,104.5,,99.25,,94,,89,86.5,84.25,,79.5,,74.75,,70.25,,112.5,119,111,112.5
6/29/2015,110.25,,104.75,,99.5,,94.5,,89.5,87,84.5,,80,,75.25,,71,,113,126,111.75,113
6/26/2015,129.75,,124,,118,,112.5,,107,104.25,101.5,,96,,91,,85.75,,132.75,134.25,128.75,132.75
6/25/2015,129.25,,123,,117,,111.25,,105.5,103,100.25,,95,,90,,85,,132.25,141,131.75,132.25
6/24/2015,132.75,,126.75,,121,,115.25,,109.5,106.75,104,,98.5,,93.5,,88.25,,135.75,143.5,135.5,135.75
6/23/2015,142.25,,136,,130,,123.75,,117.75,115,112,,106.25,,100.75,,95.5,,145.5,147,143.25,145.5
6/22/2015,141.5,,135.5,,129,,123,,117.25,114.5,111.5,,106,,100.5,,95.5,,144.75,147.75,144.25,144.75
6/19/2015,0.05,,0.05,,0.05,,0.05,,0.05,0.05,0.05,,0.05,,0.05,,0.05,,0.05,0.05,0.05,0.05
