Date,ESM6C 1805 Index,ESM6C 1810 Index,ESM6C 1815 Index,ESM6C 1820 Index,ESM6C 1825 Index,ESM6C 1830 Index,ESM6C 1835 Index,ESM6C 1800 Index,ESM6C 1840 Index,ESM6C 1845 Index,ESM6C 1850 Index,ESM6C 1855 Index,ESM6C 1860 Index,ESM6C 1865 Index,ESM6C 1870 Index,ESM6C 1875 Index,ESM6C 1880 Index,Open,High,Low,Close
8/24/2015,,166,,159.5,156.5,153.25,,172.5,147.25,,141.25,,135.25,,129.5,126.5,123.75,172.5,226.75,174.25,172.5
8/21/2015,,226.5,,219.25,215.75,212,,233.75,205,,198,,191.25,,184.25,181,177.75,233.75,269.75,231.5,233.75
8/20/2015,,262.25,,254.5,250.5,246.75,,270,239.25,,231.75,,224.25,,217,213.5,209.75,270,306,269.25,270
8/19/2015,,296,,288,284,280,,304.25,272,,264,,256,,248.25,244.5,240.5,304.25,322,301.25,304.25
8/18/2015,,312.75,,304.5,300.5,296.25,,321,288.25,,280,,272,,264,260,256,321,326,318.25,321
8/17/2015,,316.5,,308.25,304,300,,324.75,291.5,,283.5,,275.5,,267.25,263.25,259.5,324.75,324.25,306,324.75
8/14/2015,,309,,300.75,296.5,292.5,,317,284.5,,276.25,,268.25,,260.5,256.5,252.5,317,316.5,305,317
8/13/2015,,302,,294,289.75,285.75,,310.25,277.75,,269.75,,261.75,,254,250,246.25,310.25,318.5,305.5,310.25
8/12/2015,,305.25,,297,293,289,,313.5,280.75,,272.75,,265,,257,253,249.25,313.5,312,286,313.5
8/11/2015,,301.75,,293.5,289.5,285.5,,310,277.5,,269.5,,261.5,,253.75,249.75,246,310,319.25,303.5,310
8/10/2015,,316.25,,307.75,303.5,299.5,,324.5,291.5,,283.25,,275.25,,267.25,263.25,259.5,324.5,324.25,303,324.5
8/7/2015,,295.5,,287.25,283.25,279.25,,303.5,271.25,,263.5,,255.5,,247.75,244,240,303.5,310,295.5,303.5
8/6/2015,,301.5,,293.5,289.25,285.25,,309.5,277.5,,269.5,,261.5,,253.75,249.75,246,310.5,310.5,302.5,309.5
8/5/2015,,312.25,,304,300,295.75,,320.5,287.5,,279.5,,271.5,,263.75,259.75,256,328.75,328.75,318.75,320.5
8/4/2015,,303.75,,295.5,291.5,287.5,,312,279.5,,271.5,,263.5,,255.5,251.75,247.75,312,320.75,311.5,312
8/3/2015,,310,,302,297.75,293.75,,318.25,285.75,,277.75,,269.75,,261.75,258,254,318.25,326.75,310.75,318.25
7/31/2015,,317.5,,309.25,305,301,,325.75,293,,284.75,,276.75,,268.75,264.75,261,325.75,332.75,323.5,325.75
7/30/2015,,321.75,,313.5,309.25,305.25,,330,297,,289,,281,,273,269,265,330,329.5,318.75,330
7/29/2015,,320.5,,312.25,308.25,304,,329,296,,287.75,,279.75,,271.75,267.75,264,329,329.5,316.5,329
7/28/2015,,309.5,,301.5,297.25,293.25,,317.75,285.25,,277.25,,269.25,,261.5,257.5,253.5,317.75,317.75,299.25,317.75
7/27/2015,,293.5,,285.75,281.75,277.75,,301.5,270,,262.25,,254.5,,246.75,243,239.25,301.5,311.25,296,301.5
7/24/2015,,302.75,,294.5,290.5,286.5,,310.75,278.5,,270.75,,262.75,,255.25,251.25,247.5,310.75,330.5,306,310.75
7/23/2015,,319.5,,311.25,307,303,,327.75,294.75,,286.75,,278.75,,270.75,266.75,262.75,327.75,337.75,323,327.75
7/22/2015,,326.5,,318.25,314,310,,335,301.75,,293.75,,285.75,,277.75,273.75,269.75,335,337,331.5,335
7/21/2015,,332.5,,324,320,316,,341,307.5,,299.25,,291.25,,283,279,275.25,341,348.25,336,341
7/20/2015,,339,,330.5,326.5,322.25,,347.5,314,,305.75,,297.5,,289.5,285.5,281.5,347.5,349.25,343.5,347.5
7/17/2015,,336.75,,328.5,324.25,320,,345,311.75,,303.75,,295.5,,287.5,283.5,279.5,345,344.25,340.5,345
7/16/2015,,335.5,,327,323,318.75,,343.75,310.75,,302.5,,294.25,,286.25,282.25,278.25,343.75,343.5,339.25,343.75
7/15/2015,,326.5,,318,314,310,,334.75,301.75,,293.75,,285.75,,277.75,273.75,269.75,334.75,334.75,327.75,334.75
7/14/2015,,324.5,,316.25,312.25,308,,332.75,300,,292,,284,,276,272,268.25,332.75,333.25,322.75,332.75
7/13/2015,,318,,309.75,305.75,301.75,,326.25,293.75,,285.75,,277.75,,269.75,266,262,326.25,324.75,302.5,326.25
7/10/2015,,301.75,,293.75,289.75,285.75,,309.75,278,,270.25,,262.5,,255,251,247.25,309.75,312.25,300.5,309.75
7/9/2015,,284,,276.25,272.5,268.5,,291.75,261,,253.5,,246,,238.5,235,231.25,291.75,305.75,288.75,291.75
7/8/2015,,281,,273.25,269.5,265.5,,288.75,258,,250.5,,243,,235.75,232,228.25,288.75,303,286,288.75
7/7/2015,,305,,297,293.25,289.25,,313.25,281.25,,273.5,,265.75,,258,254.25,250.5,313.25,313.5,285.5,313.25
7/6/2015,,300,,292,288.25,284.5,,308,276.5,,268.75,,261.25,,253.5,249.75,246.25,308,310.5,290.75,308
7/2/2015,,303,,295.25,291.25,287.25,,311,279.5,,271.75,,264,,256.5,252.75,249,311,313.25,305.75,311
7/1/2015,,303.25,,295.25,291.25,287.25,,311.25,279.5,,271.75,,264,,256.5,252.75,249,311.25,314.5,304,311.25
6/30/2015,,293.5,,285.75,281.75,278,,301.25,270.25,,262.5,,255,,247.5,244,240.25,301.25,309.75,296.75,301.25
6/29/2015,,292,,284,280.25,276.5,,299.5,269,,261.25,,254,,246.5,242.75,239.25,315,320.75,297.5,299.5
6/26/2015,,323.75,,315.75,311.75,307.75,,332,299.75,,291.75,,284,,276,272.25,268.25,332,333.75,325.25,332
6/25/2015,,323,,315,311,307,,331.25,299,,291.25,,283.25,,275.5,271.75,268,331.25,343.5,329.5,331.25
6/24/2015,,327.5,,319.5,315.25,311.25,,335.5,303.5,,295.5,,287.5,,279.5,275.75,272,335.5,347.75,335,335.5
6/23/2015,,341.75,,333.5,329.5,325.5,,350,317.25,,309.25,,301.25,,293.25,289.25,285.25,350,351.5,345.75,350
6/22/2015,,340,,331.75,327.75,323.5,,348.25,315.5,,307.5,,299.5,,291.75,287.75,283.75,348.25,352.5,346.75,348.25
6/19/2015,,0.05,,0.05,0.05,0.05,,0.05,0.05,,0.05,,0.05,,0.05,0.05,0.05,0.05,0.05,0.05,0.05
