Date,ESM6C 1890 Index,ESM6C 1895 Index,ESM6C 1900 Index,ESM6C 1905 Index,ESM6C 1910 Index,ESM6C 1915 Index,ESM6C 1920 Index,ESM6C 1925 Index,ESM6C 1930 Index,ESM6C 1935 Index,ESM6C 1940 Index,ESM6C 1945 Index,ESM6C 1950 Index,ESM6C 1955 Index,ESM6C 1960 Index,ESM6C 1965 Index,ESM6C 1970 Index,ESM6C 1975 Index,Open,High,Low,Close
8/18/2015,248.25,,240.5,,232.75,,225,221.5,217.5,,210,,202.5,,195.25,,188,184.5,,,,
8/17/2015,251.5,,243.5,,236,,228.25,224.5,220.5,,213.25,,205.75,,198.5,,191,187.5,,,,
8/14/2015,244.75,,237,,229.25,,221.75,218,214.25,,206.75,,199.5,,192,,185,181.25,,,,
8/13/2015,238.5,,231,,223.5,,216,212.5,208.75,,201.5,,194,,187,,179.75,176.25,,,,
8/12/2015,241.5,,233.75,,226.25,,218.75,215,211.25,,204,,196.75,,189.5,,182.5,179,,,,
8/11/2015,238.25,,230.5,,223,,215.5,211.75,208,,200.75,,193.5,,186.5,,179.25,176,,,,
8/10/2015,251.75,,244,,236.25,,228.5,224.75,221,,213.5,,206,,198.5,,191.5,187.75,,,,
8/7/2015,232.5,,225,,217.5,,210.25,206.5,203,,195.75,,188.5,,181.5,,174.5,171,,,,
8/6/2015,238,,230.5,,223,,215.5,212,208.25,,201,,194,,186.75,,179.75,176.25,,,,
8/5/2015,248,,240.25,,232.75,,225,221.25,217.5,,210.25,,203,,195.75,,188.5,185,,,,
8/4/2015,240,,232.5,,225,,217.5,213.75,210,,203,,195.75,,188.5,,181.5,178,,,,
8/3/2015,246.25,,238.5,,231,,223.25,219.5,216,,208.5,,201.25,,194,,186.75,183.25,,,,
7/31/2015,253,,245.25,,237.5,,230,226,222.5,,214.75,,207.5,,200.25,,193,189.5,,,,
7/30/2015,257,,249.25,,241.5,,234,230,226.25,,218.75,,211.25,,203.75,,196.5,193,,,,
7/29/2015,256.25,,248.5,,240.75,,233,229.25,225.5,,218,,210.5,,203,,195.75,192.25,,,,
7/28/2015,246,,238.25,,230.75,,223.25,219.5,215.75,,208.5,,201.25,,194,,187,183.25,,,,
7/27/2015,231.75,,224.25,,217,,209.75,206,202.5,,195.5,,188.5,,181.5,,174.75,171.25,,,,
7/24/2015,239.75,,232.5,,225,,217.5,214,210.25,,203,,195.75,,188.5,,181.5,178,,,,
7/23/2015,255,,247.25,,239.5,,232,228.25,224.5,,217,,209.5,,202.25,,195,191.5,,,,
7/22/2015,261.75,,254,,246.25,,238.5,234.75,231,,223.25,,216,,208.5,,201,197.25,,,,
7/21/2015,267.25,,259.25,,251.5,,243.75,240,236,,228.5,,221,,213.75,,206.25,202.5,,,,
7/20/2015,273.5,,265.5,,257.75,,250,246,242.25,,234.75,,227,,219.5,,212,208.5,,,,
7/17/2015,271.5,,263.75,,255.75,,248,244,240.5,,232.75,,225,,217.75,,210.25,206.5,,,,
7/16/2015,270.25,,262.5,,254.5,,247,243,239.25,,231.5,,224,,216.75,,209.25,205.5,,,,
7/15/2015,262,,254.25,,246.5,,239,235,231.25,,224,,216.5,,209,,201.75,198,,,,
7/14/2015,260.5,,252.5,,245,,237.25,233.5,229.75,,222.25,,215,,207.5,,200.25,196.75,,,,
7/13/2015,254.25,,246.5,,239,,231.5,227.5,223.75,,216.5,,209,,201.75,,194.75,191,,,,
7/10/2015,239.75,,232.5,,225,,217.5,214,210.5,,203.25,,196.25,,189.25,,182.5,179,,,,
7/9/2015,224,,216.75,,209.75,,202.5,199.25,195.75,,189,,182.25,,175.5,,169,165.75,,,,
7/8/2015,221,,214,,206.75,,199.75,196.5,193,,186,,179.25,,172.75,,166,162.75,,,,
7/7/2015,243,,235.5,,228.25,,221,217.25,213.75,,206.5,,199.5,,192.5,,185.5,182,,,,
7/6/2015,238.75,,231.25,,224,,216.75,213.25,209.5,,202.5,,195.5,,188.75,,182,178.5,,,,
7/2/2015,241.5,,234,,226.75,,219.5,216,212.25,,205.25,,198.25,,191.5,,184.75,181.25,,,,
7/1/2015,241.5,,234,,226.5,,219.5,215.75,212.25,,205,,198,,191,,184.25,181,,,,
6/30/2015,232.75,,225.5,,218.5,,211.25,207.75,204.25,,197.5,,190.5,,183.75,,177,174,,,,
6/29/2015,232,,224.5,,217.5,,210.5,207,203.5,,196.5,,189.75,,183,,176.5,173.25,,,,
6/26/2015,260.5,,253,,245.5,,238,234.25,230.5,,223,,216,,208.75,,201.75,198.25,,,,
6/25/2015,260.25,,252.75,,245,,237.75,234,230.25,,223,,215.75,,208.5,,201.75,198.25,,,,
6/24/2015,264.25,,256.5,,249,,241.5,237.75,234,,226.75,,219.5,,212.25,,205.25,201.5,,,,
6/23/2015,277.5,,269.75,,262,,254.5,250.5,246.75,,239.25,,232,,224.5,,217.25,213.75,,,,
6/22/2015,276,,268.25,,260.5,,253,249.25,245.5,,238,,230.5,,223.25,,216,212.5,,,,
6/19/2015,0.05,,0.05,,0.05,,0.05,0.05,0.05,,0.05,,0.05,,0.05,,0.05,0.05,,,,
