Date,ESM6C 1985 Index  (L1),ESM6C 1990 Index  (R1),ESM6C 1995 Index  (L1),ESM6C 2000 Index  (L1),ESM6C 2005 Index  (L1),ESM6C 2010 Index  (L1),ESM6C 2015 Index  (L1),ESM6C 2020 Index  (L1),ESM6C 2025 Index  (L1),ESM6C 2030 Index  (L1),ESM6C 2035 Index  (L1),ESM6C 2040 Index  (L1),ESM6C 2045 Index  (L1),ESM6C 2050 Index  (L1),ESM6C 2055 Index  (L1),ESM6C 2060 Index  (L1),ESM6C 2065 Index  (L1),ESM6C 2070 Index  (L1),(R1) Open,(R1) High,(R1) Low,(R1) Close
9/3/2015,,106,,101,,96,,91,88.75,86.25,,81.75,,77.25,,72.75,,68.5,111.5,121.25,111,111.5
9/2/2015,,106.25,,101,,96,,91.25,88.75,86.5,,81.75,,77,,72.75,,68.5,111.5,111.5,99,111.5
9/1/2015,,96,,91,,86.5,,82,79.75,77.5,,73.25,,69,,65,,61.25,101,111.25,97.25,101
8/31/2015,,116.5,,111,,105.5,,100.5,97.75,95.25,,90.25,,85.5,,80.75,,76.25,122,127.25,117.25,122
8/28/2015,,123.75,,118,,112.5,,107,104.25,101.5,,96.5,,91.5,,86.5,,81.75,129.75,129,116.75,129.75
8/27/2015,,121,,115.25,,109.5,,104,101.5,98.75,,93.5,,88.5,,83.5,,78.75,126.75,126,98.75,126.75
8/26/2015,,94,,89,,84,,79.25,77,74.75,,70.25,,66,,61.75,,57.75,99,99.5,68.25,99
8/25/2015,,69.75,,65.5,,61.75,,58,56,54.25,,50.5,,47,,43.75,,40.5,74,97,72.5,74
8/24/2015,,69.25,,65.25,,61.25,,57.5,55.5,53.75,,50.25,,47,,43.75,,40.5,108.5,108.5,75,73.5
8/21/2015,,110.25,,105,,99.5,,94.25,91.75,89.25,,84.25,,79.5,,74.75,,70.25,116,141,114,116
8/20/2015,,135,,128.5,,122,,116,113,110,,104,,98.5,,93,,87.75,141.5,168.5,140.75,141.5
8/19/2015,,160.5,,153.75,,147,,140.5,137.25,134,,127.75,,121.5,,115.25,,109,167.25,181.5,165.25,167.25
8/18/2015,,173.75,,166.75,,160,,153,149.5,146.25,,139.75,,133.25,,127,,120.75,181,184.75,178.5,181
8/17/2015,,176.75,,169.75,,162.75,,156,152.5,149.25,,142.5,,136,,129.5,,123.25,184,183.25,169.25,184
8/14/2015,,171,,164,,157,,150.25,147,143.75,,137.25,,131,,125,,119,178,177.25,168.75,178
8/13/2015,,165.75,,159,,152.25,,145.75,142.5,139.25,,133,,126.75,,120.5,,114.5,172.75,179.5,169.25,172.75
8/12/2015,,168.5,,161.75,,155,,148.25,145,141.75,,135.5,,129,,123,,116.75,175.5,174.25,154.75,175.5
8/11/2015,,165.75,,159,,152.25,,145.75,142.5,139.25,,133,,126.75,,120.5,,114.5,172.5,179.75,167.5,172.5
8/10/2015,,177,,170,,163,,156.5,153,149.5,,143,,136.5,,130.25,,124,184.25,183.75,167.25,184.25
8/7/2015,,161,,154.25,,147.5,,141.25,138,135,,128.5,,122.5,,116.5,,110.5,167.5,172.75,161.5,167.5
8/6/2015,,165.75,,159,,152.5,,146,143,139.75,,133.25,,127,,120.75,,114.5,172.75,183,167.25,172.75
8/5/2015,,174.5,,167.5,,160.5,,154,150.5,147.25,,140.75,,134.5,,128,,122,181.25,188.5,180,181.25
8/4/2015,,167.5,,160.75,,154,,147.5,144.25,141,,134.5,,128.25,,122,,116,174.5,181.25,174.25,174.5
8/3/2015,,172.75,,166,,159.25,,152.5,149.25,146,,139.5,,133,,126.5,,120.25,179.75,186.5,174,179.75
7/31/2015,,178.75,,171.75,,165,,158.25,154.75,151.5,,144.75,,138.25,,132,,125.75,185.75,191.25,184.25,185.75
7/30/2015,,182.25,,175.25,,168.25,,161.5,158,154.75,,148,,141.5,,135,,128.75,189.25,189,180.5,189.25
7/29/2015,,181.5,,174.5,,167.75,,161,157.5,154.25,,147.5,,141,,134.5,,128.5,188.5,188.75,179,188.5
7/28/2015,,173,,166,,159.5,,152.75,149.5,146.25,,139.75,,133.5,,127.25,,121.25,180,180,166,180
7/27/2015,,161.5,,154.75,,148.5,,142,139,135.75,,129.75,,123.5,,117.75,,112,168,174.75,163.75,168
7/24/2015,,167.75,,161,,154.5,,148,144.75,141.5,,135.25,,129,,123,,117,174.5,190,171,174.5
7/23/2015,,181,,174,,167,,160.5,157,153.75,,147,,140.75,,134.5,,128.25,188,196,184.5,188
7/22/2015,,186.5,,179.5,,172.5,,165.75,162.25,159,,152.25,,145.75,,139.25,,132.75,193.75,195.5,191.25,193.75
7/21/2015,,192,,184.75,,177.5,,170.75,167.25,163.75,,157,,150.5,,144,,137.5,199,205.25,195,199
7/20/2015,,197.5,,190.25,,183,,176.25,172.75,169.25,,162.5,,155.75,,149,,142.5,204.75,206,201.5,204.75
7/17/2015,,195.75,,188.5,,181.5,,174.5,171,167.5,,160.75,,154,,147.25,,141,203,202.25,199.25,203
7/16/2015,,195,,187.75,,180.75,,173.75,170.25,166.75,,160,,153.5,,147,,140.75,202,201.75,198.25,202
7/15/2015,,187.5,,180.5,,173.5,,166.75,163.25,160,,153.25,,146.75,,140.5,,134,194.5,194.25,189.25,194.5
7/14/2015,,186,,179,,172,,165.5,162,158.5,,152,,145.5,,139,,132.75,193,193.25,184.75,193
7/13/2015,,180.5,,173.75,,167,,160.25,157,153.5,,147.25,,140.75,,134.5,,128.25,187.5,186.5,170.25,187.5
7/10/2015,,169,,162.25,,156,,149.5,146.25,143,,137,,130.5,,124.5,,118.5,175.5,177.5,169.5,175.5
7/9/2015,,156.25,,150,,143.75,,137.5,134.5,131.5,,125.5,,119.75,,114,,108.5,162.75,172.25,160,162.75
7/8/2015,,153.25,,147,,140.75,,134.75,131.75,128.75,,122.75,,117,,111.5,,106,159.75,170.75,157.75,159.75
7/7/2015,,172,,165.25,,158.5,,152.25,149,146,,139.75,,133.75,,127.75,,122,178.5,179.75,158,178.5
7/6/2015,,168.75,,162,,155.75,,149.25,146,143,,137,,130.75,,125,,119,175.25,176.25,161.25,175.25
7/2/2015,,171.5,,165,,158.5,,152,148.75,145.5,,139,,132.75,,126.5,,120.5,178,179.5,173.75,178
7/1/2015,,170.75,,164.25,,157.75,,151.5,148.25,145,,138.75,,132.75,,126.75,,121,177.5,180.25,172,177.5
6/30/2015,,164,,157.75,,151.25,,145,142,139,,132.75,,127,,121,,115.5,170.5,177.5,167.75,170.5
6/29/2015,,163.5,,157,,150.75,,144.5,141.75,138.75,,132.75,,127,,121.25,,115.75,170,186.25,168.5,170
6/26/2015,,188,,181.25,,174.5,,167.75,164.5,161.25,,154.5,,148.25,,142,,135.75,194.75,196.25,189.75,194.75
6/25/2015,,187.75,,181,,174.25,,167.75,164.25,161,,154.5,,148,,141.75,,135.5,194.75,204.5,193.25,194.75
6/24/2015,,191,,184.25,,177.5,,170.75,167.5,164.25,,157.75,,151.25,,145,,138.75,198.25,208,197.75,198.25
6/23/2015,,203,,196,,189,,182.25,178.75,175.25,,168.5,,162,,155.25,,148.75,210,211.25,206.75,210
6/22/2015,,202,,195,,188,,181.25,177.75,174.5,,167.75,,161,,154.5,,148,209,212.25,207.75,209
6/19/2015,,0.05,,0.05,,0.05,,0.05,0.05,0.05,,0.05,,0.05,,0.05,,0.05,0.05,0.05,0.05,0.05
