Date,ESM6P 1890 Index,ESM6P 1895 Index,ESM6P 1900 Index,ESM6P 1905 Index,ESM6P 1910 Index,ESM6P 1915 Index,ESM6P 1920 Index,ESM6P 1925 Index,ESM6P 1930 Index,ESM6P 1935 Index,ESM6P 1940 Index,ESM6P 1945 Index,ESM6P 1950 Index,ESM6P 1955 Index,ESM6P 1960 Index,ESM6P 1965 Index,ESM6P 1970 Index,ESM6P 1975 Index,Open,High,Low,Close,SMAVG (200) on Close
9/1/2015,145.75,,149.75,,153.75,,158.25,160.5,162.5,,167,,171.75,,176.5,,181.25,183.75,,,,,
8/31/2015,119.25,,122.75,,126.25,,130,131.75,133.75,,137.5,,141.5,,145.75,,149.75,152,,,,,
8/28/2015,109,,112.25,,115.5,,119,120.75,122.5,,126,,129.75,,133.5,,137.5,139.5,,,,,
8/27/2015,105.25,,108.5,,112,,115.5,117.25,119.25,,123,,126.75,,130.75,,134.75,136.75,,,,,
8/26/2015,123.5,,127.25,,131,,135,137,139.25,,143.5,,147.75,,152.25,,156.75,159,,,,,
8/25/2015,155.75,,160.25,,165,,169.75,172,174.5,,179.75,,184.75,,190,,195.5,198.5,,,,,
8/24/2015,157.25,,161.75,,166.5,,171.25,173.5,176,,181,,186,,191.5,,196.75,199.5,,,,,
8/21/2015,109.25,,112.75,,116.25,,120,121.75,123.5,,127.5,,131.5,,135.5,,139.5,141.75,,,,,
8/20/2015,86.5,,89.5,,92.5,,95.5,97,98.75,,102,,105.25,,108.5,,111.75,113.5,,,,,
8/19/2015,69.5,,71.75,,74.25,,76.75,78,79.25,,82,,84.75,,87.5,,90.5,92,,,,,
8/18/2015,63.75,,66,,68,,70.5,71.75,73,,75.25,,78,,80.5,,83.25,84.5,,,,,
8/17/2015,61.5,,63.5,,66,,68.25,69.25,70.5,,73,,75.5,,78,,80.75,82.25,,,,,
8/14/2015,64.5,,66.75,,69,,71.5,72.75,74,,76.5,,79,,81.75,,84.5,86,,,,,
8/13/2015,67.5,,69.75,,72.25,,74.75,76,77.5,,80,,82.75,,85.5,,88.25,89.75,,,,,
8/12/2015,66.5,,69,,71.25,,73.75,75,76.25,,79,,81.75,,84.5,,87.5,88.75,,,,,
8/11/2015,67.75,,70,,72.5,,75,76,77.5,,80,,82.75,,85.5,,88.5,90,,,,,
8/10/2015,61,,63.25,,65.5,,67.75,69,70.25,,72.5,,75,,77.75,,80.5,81.75,,,,,
8/7/2015,68,,70.5,,73,,75.5,76.75,78.25,,81,,83.75,,86.75,,89.75,91.25,,,,,
8/6/2015,67.5,,70,,72.5,,75,76.25,77.5,,80.25,,83,,86,,89,90.25,,,,,
8/5/2015,63.25,,65.5,,67.75,,70.25,71.5,72.75,,75.25,,78,,80.5,,83.5,84.75,,,,,
8/4/2015,66.25,,68.75,,71,,73.5,75,76.25,,79,,81.75,,84.5,,87.5,89,,,,,
8/3/2015,64.5,,67,,69.25,,71.5,72.75,74,,76.5,,79.25,,82,,84.75,86.25,,,,,
7/31/2015,63.75,,66,,68.25,,70.5,71.75,73,,75.5,,78,,80.75,,83.5,84.75,,,,,
7/30/2015,62.5,,64.5,,66.75,,69,70.25,71.5,,73.75,,76.25,,79,,81.5,83,,,,,
7/29/2015,63.75,,66,,68.25,,70.5,71.75,73,,75.25,,77.75,,80.25,,83,84.5,,,,,
7/28/2015,67.5,,70,,72.25,,74.75,76,77.25,,80,,82.5,,85.5,,88.25,89.75,,,,,
7/27/2015,76.25,,78.75,,81.25,,84,85.5,86.75,,89.75,,92.75,,95.75,,98.75,100.5,,,,,
7/24/2015,71,,73.5,,76,,78.75,80,81.25,,84,,86.75,,89.5,,92.5,94,,,,,
7/23/2015,65.5,,67.75,,70,,72.25,73.5,74.75,,77.25,,79.75,,82.5,,85.25,86.5,,,,,
7/22/2015,63,,65,,67.25,,69.5,70.5,71.75,,74.25,,76.75,,79.25,,81.75,83,,,,,
7/21/2015,61.75,,64,,66,,68.25,69.5,70.5,,73,,75.5,,78,,80.5,82,,,,,
7/20/2015,60.5,,62.75,,64.75,,67,68,69.25,,71.5,,74,,76.5,,79,80.25,,,,,
7/17/2015,61.75,,63.75,,66,,68,69.25,70.5,,72.75,,75,,77.5,,80.25,81.5,,,,,
7/16/2015,62.5,,64.5,,66.5,,69,70,71.25,,73.5,,76,,78.5,,81,82.5,,,,,
7/15/2015,66.5,,68.75,,71,,73.25,74.5,75.75,,78.25,,80.75,,83.25,,86,87.25,,,,,
7/14/2015,67,,69.25,,71.5,,73.75,75,76.25,,78.75,,81.25,,84,,86.5,88,,,,,
7/13/2015,68.75,,71,,73.25,,75.75,77,78,,80.75,,83.25,,86,,88.75,90.25,,,,,
7/10/2015,79.5,,82,,84.5,,87.25,88.5,90,,92.75,,95.75,,98.75,,101.75,103.25,,,,,
7/9/2015,91.5,,94.25,,97,,100,101.5,103,,106.25,,109.5,,112.75,,116.25,118,,,,,
7/8/2015,90.5,,93.5,,96.25,,99.25,100.75,102.25,,105.5,,108.5,,112,,115.25,117,,,,,
7/7/2015,78,,80.5,,83.25,,85.75,87.25,88.5,,91.5,,94.25,,97.25,,100.25,101.75,,,,,
7/6/2015,82.5,,85,,87.75,,90.5,92,93.25,,96.25,,99.25,,102.25,,105.5,107,,,,,
7/2/2015,81,,83.5,,86.25,,89,90.25,91.75,,94.5,,97.5,,100.75,,104,105.5,,,,,
7/1/2015,79,,81.5,,84,,86.75,88,89.5,,92.5,,95.25,,98.25,,101.5,103,,,,,
6/30/2015,86.75,,89.5,,92.25,,95.25,96.5,98,,101.25,,104.25,,107.5,,110.75,112.5,,,,,
6/29/2015,89.75,,92.5,,95.5,,98.25,99.75,101.25,,104.25,,107.5,,110.75,,114,115.75,,,,,
6/26/2015,73.25,,75.5,,78,,80.5,81.5,83,,85.5,,88.25,,91,,94,95.5,,,,,
6/25/2015,74.5,,77,,79.25,,81.75,83,84.5,,87,,89.75,,92.5,,95.5,97,,,,,
6/24/2015,73,,75.5,,77.75,,80.25,81.5,82.75,,85.25,,88,,90.75,,93.75,95,,,,,
6/23/2015,69.25,,71.5,,73.75,,76,77.25,78.5,,80.75,,83.5,,86,,88.75,90,,,,,
6/22/2015,71.25,,73.5,,75.75,,78.25,79.5,80.75,,83.25,,85.75,,88.5,,91,92.5,,,,,
6/19/2015,0.05,,0.05,,0.05,,0.05,0.05,0.05,,0.05,,0.05,,0.05,,0.05,0.05,,,,,
