Date,ESM6P 2175 Index,ESM6P 2180 Index,ESM6P 2185 Index,ESM6P 2190 Index,ESM6P 2195 Index,ESM6P 2200 Index,ESM6P 2205 Index,ESM6P 2210 Index,ESM6P 2215 Index,ESM6P 2220 Index,ESM6P 2225 Index,ESM6P 2230 Index,ESM6P 2235 Index,ESM6P 2240 Index,ESM6P 2245 Index,ESM6P 2250 Index,ESM6P 2255 Index,ESM6P 2260 Index,Open,High,Low,Close
4/15/2016,105,109,113.5,118,122.5,127.25,132,136.5,141.5,146.25,151,156,161,165.75,170.75,175.75,180.5,185.5,100.75,100.75,100.75,100.75
4/14/2016,104,108.25,112.5,117,121.5,126,130.5,135.25,140,145,149.75,154.5,159.5,164.25,169.25,174.25,179,184,98.75,98.75,98.75,100
4/13/2016,104.5,108.75,113,117.5,122,126.5,131,135.75,140.5,145.5,150.25,155,160,165,169.75,174.75,179.75,184.5,100.5,100.5,100.5,100.5
4/12/2016,122.75,127.25,131.75,136.25,141,145.75,150.5,155.25,160.25,165,170,174.75,179.75,184.75,189.75,194.5,199.5,204.5,118.5,118.5,118.5,118.5
4/11/2016,142.75,147.5,152,157,161.75,166.5,171.5,176.25,181.25,186,191,196,201,205.75,210.75,215.75,220.75,225.75,138.25,138.25,138.25,138.25
4/8/2016,136.75,141.5,146,150.75,155.5,160.25,165.25,170,175,180,184.75,189.75,194.75,199.5,204.5,209.5,214.5,219.5,132.25,132.25,132.25,132.25
4/7/2016,142.75,147.25,152,156.5,161.25,166,170.75,175.75,180.5,185.5,190.5,195.25,200.25,205.25,210,215,220,225,116.5,116.5,116.5,138.25
4/6/2016,119.5,123.75,128.25,132.75,137.25,141.75,146.5,151.25,156,160.75,165.75,170.5,175.5,180.25,185.25,190.25,195.25,200,115.5,115.5,115.5,115.5
4/5/2016,139.75,144.25,148.75,153.5,158,162.75,167.5,172.5,177.25,182,187,192,196.75,201.75,206.75,211.5,216.5,221.5,135.5,135.5,135.5,135.5
4/4/2016,122.25,126.5,131,135.5,140,144.75,149.5,154,159,163.75,168.5,173.5,178.25,183.25,188,193,198,203,113,113,113,118
4/1/2016,115,119.25,123.75,128,132.5,137.25,141.75,146.5,151.25,156,161,165.75,170.75,175.5,180.5,185.5,190.5,195.25,111,111,111,111
3/31/2016,127.5,132,136.5,141,145.75,150.5,155.25,160,164.75,169.5,174.5,179.25,184,189,194,199,204,208.75,122.5,122.5,122.5,123.25
3/30/2016,124.25,128.5,133,137.5,142,146.75,151.5,156.25,161,166,170.75,175.75,180.5,185.5,190.5,195.25,200.25,205.25,120,120,120,120
3/29/2016,131.75,136.25,140.5,145.25,149.75,154.5,159,164,168.75,173.5,178.5,183.25,188.25,193,198,203,208,212.75,127.5,127.5,127.5,127.5
3/28/2016,150.5,155,159.5,164.25,168.75,173.5,178.5,183.25,188,193,197.75,202.75,207.5,212.5,217.5,222.5,227.25,232.25,146,146,146,146
3/24/2016,150.25,154.75,159.25,163.75,168.5,173.25,178,182.75,187.5,192.5,197.25,202.25,207,212,217,222,226.75,231.75,145.75,145.75,145.75,145.75
3/23/2016,150,154.5,159,163.75,168.25,173,177.75,182.5,187.5,192.25,197,202,207,211.75,216.75,221.5,226.5,231.5,145.5,145.5,145.5,145.5
3/22/2016,137,141.25,145.75,150.25,154.75,159.5,164,169,173.75,178.5,183.5,188.25,193.25,198,203,208,213,218,132.5,132.5,132.5,132.5
3/21/2016,137,141.5,145.75,150.25,154.75,159.5,164,168.75,173.5,178.5,183.25,188,193,198,202.75,207.75,212.75,217.75,132.75,132.75,132.75,132.75
