Date,ESM6P 1985 Index,ESM6P 1990 Index,ESM6P 1995 Index,ESM6P 2000 Index,ESM6P 2005 Index,ESM6P 2010 Index,ESM6P 2015 Index,ESM6P 2020 Index,ESM6P 2025 Index,ESM6P 2030 Index,ESM6P 2035 Index,ESM6P 2040 Index,ESM6P 2045 Index,ESM6P 2050 Index,ESM6P 2055 Index,ESM6P 2060 Index,ESM6P 2065 Index,ESM6P 2070 Index,Open,High,Low,Close
4/8/2016,36,37.25,38.5,39.75,41.25,42.75,44.25,46,47.5,49.25,51,52.75,54.75,56.75,58.75,60.75,63,65.25,33,35.75,31,34.75
4/7/2016,39.5,41,42.25,43.75,45.25,46.75,48.25,50,51.5,53.25,55,57,59,61,63,65.25,67.5,70,32.75,40.5,32.25,38.25
4/6/2016,29.5,30.5,31.5,32.75,34,35.5,36.75,38,39.5,40.75,42.25,44,45.5,47.25,49,51,53,55,33.5,37.25,29,28.25
4/5/2016,37.75,39,40.5,41.75,43.25,44.75,46.25,48,49.75,51.5,53.5,55.25,57.25,59.25,61.5,63.5,65.75,68,30.25,36.5,30.25,36.5
4/4/2016,30.25,31.5,32.75,34,35.25,36.5,38,39.25,40.75,42.25,44,45.5,47,49,50.75,52.5,54.5,56.75,27.75,28,25.25,29.25
4/1/2016,28,29,30,31,32.25,33.5,34.75,36,37.25,38.75,40,41.5,43.25,44.75,46.5,48.25,50,52,33.75,33.75,33.75,27
3/31/2016,32.75,34,35.25,36.5,37.75,39.25,40.5,42,43.5,45.25,46.75,48.5,50.25,52,54,56,58,60.25,29.5,31.5,29.5,31.75
3/30/2016,31.5,32.5,33.75,35,36,37.5,38.75,40.25,41.75,43.25,44.75,46.5,48.25,50,52,54,56,58,33,33,28,30.25
3/29/2016,34.75,36,37.25,38.5,40,41.25,42.75,44.25,45.75,47.5,49,50.75,52.5,54.5,56.5,58.5,60.75,63,36,36,34,33.5
3/28/2016,43.5,45,46.5,48,49.5,51.25,53,55,56.75,58.5,60.5,62.5,64.75,67,69.25,71.5,73.75,76.25,40.25,40.75,40.25,42
3/24/2016,45,46.5,48,49.5,51,52.5,54.25,56,58,59.75,61.75,63.75,65.75,68,70,72.5,74.75,77.25,47.25,50,47,43.5
3/23/2016,45.25,46.5,48,49.5,51.25,52.75,54.5,56.25,58,60,62,64,66,68.25,70.5,72.75,75,77.5,37.75,44,37.75,43.75
3/22/2016,40,41.25,42.5,44,45.25,46.75,48.25,49.75,51.5,53,54.75,56.5,58.5,60.5,62.5,64.5,66.75,69,39,41.5,37,38.5
3/21/2016,40,41.5,42.75,44,45.5,47,48.5,50,51.75,53.5,55.25,57,59,60.75,62.75,65,67,69.25,43.75,43.75,38.75,39
3/18/2016,43.5,45,46.25,47.75,49.25,50.75,52.5,54,55.75,57.5,59.25,61.25,63,65,67.25,69.5,71.75,74,44.5,45.25,40.5,42.25
3/17/2016,46.25,47.5,49,50.5,52.25,53.75,55.5,57.25,59,61,63,65,67,69.25,71.5,73.75,76,78.5,53.75,53.75,44,44.75
3/16/2016,52,53.75,55.25,57,58.75,60.5,62.25,64.25,66,68,70.25,72.25,74.5,76.75,79,81.5,84,86.75,56.5,57,49.5,50.5
3/15/2016,58.5,60.25,62,63.75,65.75,67.5,69.5,71.75,73.75,76,78,80.5,82.75,85,87.5,90.25,93,95.75,55.75,61.5,55.75,56.75
3/14/2016,57.75,59.5,61.25,63,64.75,66.75,68.5,70.5,72.75,74.75,77,79.25,81.5,84,86.25,89,91.5,94,58.75,58.75,55,56.25
3/11/2016,59.25,61,62.5,64.5,66.25,68,70,72,74,76,78.25,80.5,82.75,85,87.5,90,92.5,95,59.75,59.75,59.25,57.75
3/10/2016,74,76,78,80,82.25,84.5,86.75,89,91.5,94,96.5,99.25,102,104.75,107.5,110.5,113.5,116.5,65.75,75,63.75,72
3/9/2016,74.75,76.75,78.75,81,83,85.5,87.5,90,92.5,95,97.5,100.25,103,105.5,108.5,111.25,114.25,117.25,73,73,73,73
3/8/2016,79.5,81.5,83.75,86,88,90.5,93,95.5,98,100.5,103,105.75,108.5,111.5,114.5,117.5,120.5,123.5,77.75,77.75,76,77.25
3/7/2016,69.25,71.25,73.25,75.25,77.25,79.5,81.5,83.75,86,88.5,90.75,93.25,96,98.5,101.25,104,107,109.75,72.5,72.5,66.5,67.5
3/4/2016,71.25,73.25,75.25,77.25,79.5,81.5,83.75,86,88.5,90.75,93.25,96,98.5,101.25,104,107,109.75,112.75,71.5,71.5,67,69.5
3/3/2016,73.25,75.25,77.5,79.5,81.75,84,86,88.5,91,93.5,96,98.5,101.25,104,106.75,109.5,112.5,115.5,72.5,72.5,70.75,71.25
3/2/2016,77,79,81.25,83.5,85.75,88,90.5,92.75,95.25,98,100.5,103.25,106,109,111.75,114.75,117.75,121,75,75,75,75
3/1/2016,81.5,83.5,85.75,87.75,90,92.5,94.75,97.25,99.75,102.5,105,107.75,110.5,113.5,116.5,119.5,122.5,125.5,102.25,102.25,102.25,79.25
2/29/2016,110.75,113.25,116,118.75,121.75,124.5,127.5,130.5,133.75,137,140.25,143.5,147,150.25,153.75,157.5,161,164.75,108,108,108,108
2/26/2016,103.5,106,108.5,111.25,114,116.75,119.5,122.25,125.25,128.25,131.25,134.5,137.5,141,144.25,147.5,151,154.75,101,101,101,101
2/25/2016,98.75,101.25,103.75,106.25,108.75,111.5,114.25,117,120,122.75,125.75,128.75,132,135,138.5,141.75,145.25,148.75,96.5,96.5,96.5,96.5
2/24/2016,113,115.5,118.25,121,123.75,126.5,129.5,132.5,135.5,138.75,142,145.25,148.5,152,155.5,159,162.5,166.25,110.25,110.25,110.25,110.25
2/23/2016,121,123.75,126.5,129.5,132.5,135.5,138.75,142,145,148.5,151.75,155.25,158.75,162.25,166,169.5,173.25,177,118.25,118.25,118.25,118.25
2/22/2016,108,110.5,113.25,116,118.75,121.5,124.25,127.25,130.25,133.25,136.5,139.5,143,146.25,149.5,153,156.5,160.25,105.5,105.5,105.5,105.5
2/19/2016,123.75,126.5,129.5,132.25,135.25,138.25,141.5,144.5,147.75,151,154.5,157.75,161.25,164.75,168.25,172,175.5,179.5,121,121,121,121
2/18/2016,124.75,127.5,130.25,133,136,139,142,145.25,148.25,151.5,155,158.25,161.5,165,168.5,172,175.75,179.5,122,122,122,122
2/17/2016,123.5,126.25,129,131.5,134.5,137.25,140.25,143.25,146.25,149.5,152.5,155.75,159,162.5,166,169.25,172.75,176.5,121,121,121,121
2/16/2016,146.5,149.5,152.5,155.75,159,162,165.5,168.75,172,175.5,179,182.5,186.25,190,193.5,197.5,201.25,205,143.5,143.5,143.5,143.5
2/12/2016,170,173.25,176.5,180,183.25,186.75,190.25,194,197.5,201.25,205,208.75,212.75,216.5,220.5,224.5,228.5,232.5,166.75,166.75,166.75,166.75
2/11/2016,195.5,199,202.5,206.25,210,213.75,217.5,221.5,225.5,229.5,233.5,237.5,241.5,245.75,250,254,258.5,262.75,202.25,202.25,202.25,192
2/10/2016,178,181.5,184.75,188.25,191.75,195.5,199,202.75,206.5,210.25,214,218,222,226,230,234,238,242.25,174.75,174.75,174.75,174.75
2/9/2016,177,180.25,183.75,187.25,190.75,194.25,198,201.5,205.25,209,212.75,216.75,220.5,224.5,228.5,232.75,236.75,241,173.5,173.5,173.5,173.5
2/8/2016,174,177.5,180.75,184.25,187.75,191.25,194.75,198.5,202.25,206,209.75,213.5,217.5,221.5,225.5,229.5,233.5,237.75,170.75,170.75,170.75,170.75
2/5/2016,156.25,159.5,162.5,165.75,169,172.25,175.75,179.25,182.75,186.25,190,193.5,197.25,201,204.75,208.75,212.75,216.75,153,153,153,153
2/4/2016,134,137,139.75,142.75,145.75,148.75,151.75,155,158,161.25,164.5,168,171.25,174.75,178.25,182,185.5,189.25,131.25,131.25,131.25,131.25
2/3/2016,132.5,135.25,138.25,141,144,147,150.25,153.5,156.5,159.75,163,166.5,169.75,173.25,176.75,180.5,184,187.75,129.5,129.5,129.5,129.5
2/2/2016,139.5,142.5,145.5,148.5,151.5,154.5,157.75,161,164.25,167.5,171,174.5,178,181.5,185.25,189,192.75,196.5,136.5,136.5,136.5,136.5
2/1/2016,117.25,120,122.5,125,128,130.75,133.5,136.5,139.5,142.5,145.5,148.75,152,155.25,158.5,162,165.5,169,114.75,114.75,114.75,114.75
1/29/2016,118.75,121.25,124,126.5,129.25,132,135,138,141,144,147,150.25,153.25,156.5,160,163.5,166.75,170.5,122.25,122.5,119,116
1/28/2016,150.75,153.75,157,160.25,163.5,166.75,170.25,173.75,177.25,180.75,184.25,188,191.5,195.5,199.25,203,207,211,147.75,147.75,147.75,147.75
1/27/2016,156.25,159.25,162.5,165.75,169,172.5,176,179.5,183,186.5,190,193.75,197.5,201.25,205.25,209,213,217,153.25,153.25,153.25,153.25
1/26/2016,142.75,145.5,148.5,151.75,154.75,158,161,164.25,167.75,171,174.5,178,181.5,185,188.5,192.25,196,200,139.75,139.75,139.75,139.75
1/25/2016,160.25,163.5,166.5,170,173.25,176.5,180,183.5,187.25,190.75,194.5,198,202,205.75,209.5,213.5,217.5,221.5,157.25,157.25,157.25,157.25
1/22/2016,140.75,143.75,146.5,149.5,152.75,155.75,159,162,165.5,168.75,172,175.5,179,182.5,186.25,189.75,193.5,197.25,138,138,138,138
1/21/2016,170,173,176.5,179.75,183,186.5,189.75,193.25,197,200.5,204.25,208,211.75,215.5,219.5,223.25,227.25,231.25,166.75,166.75,166.75,166.75
1/20/2016,174,177.5,180.75,184,187.5,191,194.5,198,201.5,205.25,209,212.75,216.5,220.5,224.25,228.25,232.25,236.5,171,171,171,171
1/19/2016,160.75,163.75,167,170,173.25,176.5,180,183.25,186.75,190.25,193.75,197.25,201,204.75,208.5,212.25,216.25,220,157.75,157.75,157.75,157.75
1/15/2016,161.25,164.5,167.5,170.5,173.75,177,180.25,183.5,187,190.5,194,197.5,201,204.75,208.5,212.25,216,219.75,158.25,158.25,158.25,158.25
1/14/2016,135,137.75,140.5,143.25,146,148.75,151.75,154.5,157.5,160.75,163.75,167,170.25,173.5,176.75,180.25,183.75,187.25,132.5,132.5,132.5,132.5
1/13/2016,156.75,159.5,162.5,165.75,168.75,172,175.25,178.5,181.75,185,188.5,192,195.5,199.25,203,206.5,210.25,214,153.75,153.75,153.75,153.75
1/12/2016,128.25,130.75,133.25,136,138.75,141.5,144.25,147,150,153,156,159,162,165.25,168.5,171.75,175.25,178.5,125.75,125.75,125.75,125.75
1/11/2016,136,138.5,141.25,144,147,149.75,152.5,155.5,158.5,161.5,164.75,168,171,174.25,177.5,181,184.5,188,133.5,133.5,133.5,133.5
1/8/2016,143.25,146,148.5,151.25,154,156.75,159.75,162.5,165.5,168.5,171.5,174.75,177.75,181,184.25,187.5,191,194.5,140.75,140.75,140.75,140.75
1/7/2016,130,132.5,135,137.5,140,142.75,145.5,148.25,151,153.75,156.5,159.5,162.5,165.5,168.75,171.75,175,178,127.5,127.5,127.5,127.5
1/6/2016,100,102,104,106,108.25,110.5,112.75,115,117.25,119.75,122,124.5,127,129.5,132,134.75,137.5,140,98,98,98,98
1/5/2016,88.5,90.25,92,94,96,98,100,102,104,106,108.25,110.5,112.75,115,117.25,119.5,122,124.5,86.5,86.5,86.5,86.5
1/4/2016,92,94,95.75,97.75,99.5,101.5,103.5,105.5,107.75,110,112,114.25,116.5,119,121.25,123.5,126,128.5,98.5,100.25,98.5,90.25
12/31/2015,80,81.75,83.25,85,86.75,88.5,90.25,92,93.75,95.75,97.75,99.75,101.75,103.5,105.5,107.75,110,112.25,78.5,78.5,78.5,78.5
12/30/2015,72.5,74,75.5,77,78.75,80.25,82,83.5,85.25,87,88.75,90.5,92.5,94.25,96.25,98.25,100,102.25,71,71,71,71
12/29/2015,66,67.5,68.75,70.25,71.5,73,74.5,76,77.75,79.25,81,82.5,84.25,86,87.75,89.5,91.5,93.5,64.75,64.75,64.75,64.75
12/28/2015,75,76.5,78,79.5,81.25,82.75,84.5,86.25,88,89.75,91.5,93.5,95.25,97.25,99.25,101.5,103.5,105.5,73.5,73.5,73.5,73.5
12/24/2015,75.5,77,78.75,80.25,82,83.5,85.25,87,88.75,90.5,92.25,94,96,98,100,102,104,106,74,74,74,74
12/23/2015,74.75,76.25,78,79.5,81,82.75,84.5,86,87.75,89.5,91.5,93.25,95,97,99,101,103,105,71.5,71.5,71.5,73.25
12/22/2015,82,83.75,85.5,87,89,90.75,92.5,94.25,96.25,98,100,102,104,106,108.25,110.5,112.5,115,80.5,80.5,80.5,80.5
12/21/2015,93,95,96.75,98.5,100.5,102.5,104.5,106.5,108.5,110.5,112.5,114.75,117,119.25,121.5,123.75,126,128.5,91.25,91.25,91.25,91.25
12/18/2015,105.75,107.75,109.75,111.75,113.75,116,118,120.25,122.5,124.75,127,129.25,131.75,134,136.5,139,141.75,144.25,104,104,104,104
12/17/2015,,92.5,,96,,99.75,,103.5,105.5,107.5,,111.5,,115.75,,120.25,,125,89,89,89,89
12/16/2015,,76.75,,79.75,,82.75,,86,87.75,89.5,,93,,96.75,,100.5,,104.5,76,76,76,73.75
12/15/2015,,90,,93.5,,97,,100.5,102.25,104.25,,108,,112,,116.25,,120.75,86.25,86.25,86.25,87
12/14/2015,,103,,106.75,,110.75,,114.75,116.75,119,,123.25,,127.75,,132.5,,137.25,99.25,99.25,99.25,99.25
12/11/2015,,110,,114,,118,,122,124.25,126.5,,131,,135.5,,140.25,,145,106.25,106.25,106.25,106.25
12/10/2015,,89,,92.25,,95.75,,99.25,101,103,,107,,111,,115,,119.25,85.75,85.75,85.75,85.75
12/9/2015,,91.5,,94.75,,98.25,,102,104,105.75,,109.75,,113.75,,118,,122.25,88.25,88.25,88.25,88.25
12/8/2015,,83.75,,87,,90.25,,93.75,95.5,97.25,,101,,105,,109,,113,80.75,80.75,80.75,80.75
12/7/2015,,74,,77,,80,,83,84.5,86.25,,89.5,,93,,96.75,,100.5,76.5,76.5,76.5,71.25
12/4/2015,,71.5,,74.25,,77.25,,80.25,81.75,83.5,,86.75,,90,,93.5,,97.25,69,69,69,69
12/3/2015,,87.25,,90.5,,94,,97.5,99.25,101,,104.75,,108.75,,112.75,,117,84,84,84,84
12/2/2015,,75.25,,78.25,,81,,84.25,85.75,87.5,,90.75,,94.25,,98,,101.75,72.5,72.5,72.5,72.5
12/1/2015,,69,,71.5,,74.5,,77.25,78.75,80.25,,83.5,,86.5,,90,,93.25,66.5,66.5,66.5,66.5
11/30/2015,,78,,81,,84,,87,88.5,90.25,,93.75,,97.25,,101,,104.5,75,75,75,75
11/27/2015,,74.75,,77.75,,80.5,,83.75,85.25,87,,90,,93.5,,96.75,,100.25,72,72,72,72
11/25/2015,,75.75,,78.5,,81.5,,84.5,86,87.5,,90.75,,94.25,,97.75,,101.5,73,73,73,73
11/24/2015,,78,,81,,84,,87,88.5,90,,93.5,,96.75,,100.25,,104,75.25,75.25,75.25,75.25
11/23/2015,,77.75,,80.75,,83.75,,86.75,88.5,90,,93.5,,97,,100.75,,104.5,75,75,75,75
11/20/2015,,77.5,,80.5,,83.5,,86.5,88.25,89.75,,93,,96.5,,100,,103.75,75,75,75,75
11/19/2015,,82.5,,85.5,,88.5,,91.75,93.5,95.25,,98.75,,102.25,,106,,110,79.5,79.5,79.5,79.5
11/18/2015,,80.5,,83.5,,86.5,,89.75,91.25,93,,96.5,,100,,103.75,,107.75,77.5,77.5,77.5,77.5
11/17/2015,,93.25,,96.75,,100.25,,104,105.75,107.75,,111.5,,115.75,,119.75,,124,90,90,90,90
11/16/2015,,93,,96.25,,100,,103.5,105.5,107.5,,111.25,,115.5,,119.5,,124,89.75,89.75,89.75,89.75
11/13/2015,,108.5,,112.25,,116,,120.25,122.25,124.25,,128.5,,133,,137.75,,142.5,104.75,104.75,104.75,104.75
11/12/2015,,96.75,,100.25,,103.75,,107.5,109.5,111.5,,115.5,,119.5,,123.75,,128,93.5,93.5,93.5,93.5
11/11/2015,,83.25,,86.5,,89.5,,93,94.75,96.5,,100,,103.75,,107.5,,111.5,80.25,80.25,80.25,80.25
11/10/2015,,79.5,,82.5,,85.5,,88.75,90.5,92.25,,95.5,,99,,102.75,,106.5,76.5,76.5,76.5,76.5
11/9/2015,,83.25,,86.25,,89.5,,92.75,94.5,96.25,,99.75,,103.5,,107.25,,111.25,80.25,80.25,80.25,80.25
11/6/2015,,74.5,,77.5,,80.5,,83.5,85,86.5,,89.75,,93.25,,96.75,,100.25,72,72,72,72
11/5/2015,,76,,79,,81.75,,85,86.5,88,,91.25,,94.75,,98.25,,101.75,73.5,73.5,73.5,73.5
11/4/2015,,77,,79.5,,82.5,,85.5,87,88.5,,91.75,,95,,98.5,,102.25,74.25,74.25,74.25,74.25
11/3/2015,,72.75,,75.5,,78.25,,81,82.5,84,,87.25,,90.5,,93.75,,97.25,76,76,76,70
11/2/2015,,74.5,,77,,80,,83,84.5,86,,89.25,,92.5,,96,,99.75,76,76,76,71.75
10/30/2015,,84.25,,87.25,,90.5,,93.75,95.25,97,,100.5,,104.25,,108,,111.75,81.25,81.25,81.25,81.25
10/29/2015,,81,,84,,87,,90.25,91.75,93.5,,97,,100.5,,104,,108,78.25,78.25,78.25,78.25
10/28/2015,,80.25,,83.25,,86.25,,89.5,91,92.75,,96.25,,99.75,,103.5,,107.25,77.5,77.5,77.5,77.5
10/27/2015,,89.75,,93,,96.25,,99.75,101.5,103.25,,107,,111,,115,,119,86.5,86.5,86.5,86.5
10/26/2015,,90,,93.25,,96.5,,100,101.75,103.5,,107,,110.75,,114.75,,118.5,86.75,86.75,86.75,86.75
10/23/2015,,87,,90.25,,93.5,,97,98.5,100.5,,104,,108,,112,,116,84,84,84,84
10/22/2015,,90.5,,94,,97.25,,100.75,102.5,104.5,,108.5,,112.5,,116.5,,120.75,87.5,87.5,87.5,87.5
10/21/2015,,112,,116,,120,,124.25,126.5,128.75,,133.25,,138,,142.5,,147.5,108.25,108.25,108.25,108.25
10/20/2015,,105.25,,109,,113,,117,119.25,121.25,,125.5,,130,,134.75,,139.5,101.5,101.5,101.5,101.5
10/19/2015,,101.75,,105.5,,109.25,,113.25,115.5,117.5,,121.75,,126,,130.75,,135.5,98,98,98,98
10/16/2015,,106,,109.75,,113.75,,117.75,119.75,122,,126,,130.5,,135,,139.75,102.5,102.5,102.5,102.5
10/15/2015,,109.5,,113.5,,117.25,,121.5,123.5,125.5,,130,,134.5,,139.25,,144,106,106,106,106
10/14/2015,,128.5,,132.75,,137,,141.75,144,146.5,,151.25,,156.25,,161.5,,167,118,118.5,118,124.5
10/13/2015,,123.25,,127.5,,131.75,,136.25,138.5,140.75,,145.5,,150.5,,155.5,,160.75,118,118.5,118,119
10/12/2015,,113,,117,,121,,125.25,127.5,129.5,,134.25,,139,,143.5,,148.5,109,109,109,109
10/9/2015,,117.75,,121.75,,126,,130,132.25,134.5,,139,,143.75,,148.5,,153.5,113.75,113.75,113.75,113.75
10/8/2015,,118.5,,122.5,,126.75,,131,133.25,135.5,,140,,145,,149.75,,154.75,114.5,114.5,114.5,114.5
10/7/2015,,129.5,,133.75,,138,,142.5,144.75,147,,152,,157,,162.25,,167.5,125.5,125.5,125.5,125.5
10/6/2015,,139.5,,144,,149,,153.75,156.25,158.75,,164,,169.25,,174.5,,180,135,135,135,135
10/5/2015,,136.75,,141.25,,145.75,,150.5,153,155.5,,160.5,,165.75,,171.25,,176.75,132.5,132.5,132.5,132.5
10/2/2015,,154.5,,159.5,,164.5,,169.75,172.5,175,,180.75,,186.5,,192.25,,198.25,149.75,149.75,149.75,149.75
10/1/2015,,171.5,,176.5,,182,,187.75,190.5,193.5,,199.25,,205.25,,211.5,,217.75,166.25,166.25,166.25,166.25
9/30/2015,,177,,182.5,,188,,193.75,196.5,199.5,,205.5,,211.5,,217.75,,224,171.75,171.75,171.75,171.75
9/29/2015,,198.25,,204,,210.25,,216.5,219.5,222.5,,229,,235.75,,242.5,,249.5,192.5,192.5,192.5,192.5
9/28/2015,,200.5,,206.25,,212.25,,218.5,221.5,224.75,,231.25,,237.75,,244.5,,251.5,194.75,194.75,194.75,194.75
9/25/2015,,170.5,,175.75,,181,,186.5,189.5,192.25,,198,,204,,210,,216.5,165.5,165.5,165.5,165.5
9/24/2015,,171,,176.25,,181.5,,187.25,190,192.75,,198.5,,204.5,,210.5,,216.5,165.75,165.75,165.75,165.75
9/23/2015,,163,,168,,173,,178.5,181.25,184,,189.75,,195.5,,201.5,,207.75,158,158,158,158
9/22/2015,,163,,168,,173,,178.25,181,183.75,,189.25,,195,,201,,207,158,158,158,158
9/21/2015,,143.5,,148.25,,152.75,,157.75,160.25,162.75,,167.75,,173,,178.5,,184,139,139,139,139
9/18/2015,,153.75,,158.5,,163.5,,168.5,171,173.5,,178.75,,184.25,,189.75,,195.5,149.25,149.25,149.25,149.25
9/17/2015,,140,,144.25,,148.75,,153.25,155.75,158,,163,,168,,173,,178.25,135.75,135.75,135.75,135.75
9/16/2015,,134.75,,139,,143.25,,147.5,149.75,152,,156.75,,161.5,,166.5,,172,130.75,146,131,130.75
9/15/2015,,148.25,,152.5,,157,,161.75,164.25,166.5,,171.5,,176.5,,182,,187.25,143.75,164.75,143,143.75
9/14/2015,,165.25,,170,,174.75,,179.75,182.5,185,,190.5,,196,,201.5,,207.5,160.75,164.75,150.75,160.75
9/11/2015,,160.75,,165.5,,170.25,,175.25,177.75,180.25,,185.5,,191,,196.25,,202,156.5,169,157,156.5
9/10/2015,,167,,172,,176.75,,182,184.5,187,,192.5,,197.75,,203.5,,209,162.5,174,155.5,162.5
9/9/2015,,172.25,,177,,182,,187,189.75,192.25,,197.5,,203,,208.75,,214.5,167.5,170.75,142.5,167.5
9/8/2015,,161,,165.5,,170.25,,175,177.5,180,,185,,190.25,,195.5,,201,156.5,184,156,156.5
9/4/2015,,187.5,,192.5,,198,,203.25,206,208.75,,214.25,,220,,226,,232,182.5,190.75,165.75,182.5
9/3/2015,,171.5,,176.5,,181.25,,186.5,189,191.5,,197,,202.5,,208,,213.75,166.75,169,150.75,166.75
9/2/2015,,170.5,,175.5,,180.25,,185.5,188,190.5,,195.75,,201.25,,206.75,,212.5,165.75,190.25,165.75,165.75
